original	translated
Study	Study
Training	Training
Аркада	Arcade
Вечеринка	Party
Гонки	Racing
Магазин	Shops
Музыка	Music
Мультиплеер	Multiplayer
Настольная игра	Board Game
Образ жизни	Lifestyle
Обучающая игра	Education
Общение	Communication
Пазл	Puzzle
Платформер	Platformer
Приключения	Adventure
Приложение	Application
Прочее	Other
Ролевая игра	RPG
Симулятор	Simulation
Служебные программы	Utility
Спортивная игра	Sports
Стратегия	Strategy
Файтинг	Fighting
Шутер от первого лица	First-Person Shooter
Шутер	Shooter
Экшн	Action
